invoice_and_item_number,date,store_number,store_name,address,city,county,zip_code,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,month_name,quarter,day_of_week,margin_per_bottle,margin_pct,price_per_liter
INV-057182050,2026-01-06,1479,Hy-Vee #3 / Bdi / Des Moines,1587 Oak Ave,Council Bluffs,Pottawattamie,51137,1012100,Straight Bourbon Whiskies,693,Diageo Americas,55591,Jim Beam Bourbon,24,750,108.49,162.73,3,488.19,2.25,0.59,2026,1,Jan,1,Tuesday,54.24,33.33,216.97
INV-080979534,2026-02-15,4555,Maverik #5266 / Des Moines,3238 Elm Rd,Dewitt,Clinton,50704,1051100,Spiced Rum,872,E & J Gallo Winery,80402,Jack Daniels Tennessee Whiskey,6,375,98.98,148.47,1,148.47,0.38,0.1,2026,2,Feb,1,Sunday,49.49,33.33,390.71
INV-024404851,2026-01-01,3963,I-80 Liquor / Council Bluffs,5913 Park Blvd,Cedar Falls,Black Hawk,51738,1041100,100% Agave Tequila,319,Pernod Ricard Usa,77403,Johnnie Walker Black Label,24,1000,72.16,108.24,8,865.92,8.0,2.11,2026,1,Jan,1,Thursday,36.08,33.33,108.24
INV-048691113,2026-01-30,1665,Costco Wholesale #788 / Wdm,1447 Elm Rd,Cedar Rapids,Linn,52023,1082200,American Schnapps,218,Diageo Americas,60434,Grey Goose Vodka,24,375,19.33,28.99,6,173.94,2.25,0.59,2026,1,Jan,1,Friday,9.66,33.32,77.31
INV-035338291,2026-02-06,2140,Hy-Vee #3 Food & Drugstore / Davenport,7893 Elm Rd,Dubuque,Dubuque,50735,1071000,Cocktails/Rtd,113,Brown Forman,98363,Jack Daniels Tennessee Whiskey,12,1750,118.25,177.38,7,1241.66,12.25,3.24,2026,2,Feb,1,Friday,59.13,33.34,101.36
INV-089263249,2026-03-04,2666,Kwik Spirits #1191 / Fort Dodge,2864 Main St,Iowa City,Johnson,51490,1041100,100% Agave Tequila,303,Pernod Ricard Usa,54385,Black Velvet,6,375,49.5,74.25,12,891.0,4.5,1.19,2026,3,Mar,1,Wednesday,24.75,33.33,198.0
INV-046637787,2026-01-26,7557,Wilkie Liquors,5934 Park Blvd,Cedar Rapids,Linn,52731,1032100,Irish Whiskies,717,Beam Suntory,63011,Johnnie Walker Black Label,24,1000,92.74,139.11,10,1391.1,10.0,2.64,2026,1,Jan,1,Monday,46.37,33.33,139.11
INV-094338531,2026-03-04,3205,Benz Distributing,586 Main St,Council Bluffs,Pottawattamie,50217,1041100,Gin,950,Brown Forman,18942,Jim Beam Bourbon,12,375,60.51,90.77,4,363.08,1.5,0.4,2026,3,Mar,1,Wednesday,30.26,33.34,242.05
INV-020269972,2026-03-05,9518,Sam'S Club 6344 / Windsor Heights,8164 Park Blvd,Davenport,Scott,50828,1011100,American Vodkas,400,E & J Gallo Winery,96781,Malibu Coconut Rum,12,750,75.96,113.94,2,227.88,1.5,0.4,2026,3,Mar,1,Thursday,37.98,33.33,151.92
INV-061489930,2026-03-05,8374,Marshall Beer Wine Spirits,5253 Park Blvd,Waterloo,Black Hawk,51813,1033100,Single Malt Scotch,570,Pernod Ricard Usa,14716,Malibu Coconut Rum,6,375,118.92,178.38,2,356.76,0.75,0.2,2026,3,Mar,1,Thursday,59.46,33.33,475.68
INV-075425092,2026-01-05,2792,Hy-Vee #3 Food & Drugstore / Davenport,9420 Park Blvd,Waterloo,Black Hawk,52704,1051100,Spiced Rum,667,Hy-Vee Inc,99833,Johnnie Walker Black Label,6,1750,39.9,59.85,7,418.95,12.25,3.24,2026,1,Jan,1,Monday,19.95,33.33,34.2
INV-060707149,2026-03-11,6779,Casey'S General Store #2212 / Cedar Rapids,4760 Elm Rd,Ankeny,Polk,50252,1075300,Brandy,128,Pernod Ricard Usa,87393,Crown Royal Canadian Whisky,12,375,34.19,51.28,10,512.8,3.75,0.99,2026,3,Mar,1,Wednesday,17.09,33.33,136.75
INV-067465077,2026-01-06,6654,Sam'S Club 8162 / Cedar Rapids,5955 Park Blvd,Dewitt,Clinton,51439,1062300,Whiskey Liqueur,157,Heaven Hill Brands,96670,Jameson Irish Whiskey,24,375,43.26,64.89,2,129.78,0.75,0.2,2026,1,Jan,1,Tuesday,21.63,33.33,173.04
INV-012645698,2026-02-01,9821,Hy-Vee #3 Food & Drugstore / Davenport,5443 Main St,West Des Moines,Polk,51888,1011200,Imported Vodkas,773,E & J Gallo Winery,65374,Black Velvet,12,375,16.84,25.26,3,75.78,1.12,0.3,2026,2,Feb,1,Sunday,8.42,33.33,67.66
INV-060699081,2026-03-14,7394,Sam'S Club 6472 / Council Bluffs,5382 Main St,Cedar Falls,Black Hawk,52001,1041100,Gin,202,Luxco Inc,98488,Tito'S Handmade Vodka,24,1750,6.09,9.13,6,54.78,10.5,2.77,2026,3,Mar,1,Saturday,3.04,33.3,5.22
INV-076699729,2026-01-27,2234,Maverik #5266 / Des Moines,8879 Oak Ave,Ankeny,Polk,51178,1011400,American Flavored Vodka,371,Heaven Hill Brands,16230,Crown Royal Canadian Whisky,12,1000,116.44,174.66,4,698.64,4.0,1.06,2026,1,Jan,1,Tuesday,58.22,33.33,174.66
INV-086024718,2026-02-08,9700,Wilkie Liquors,7886 Park Blvd,Iowa City,Johnson,50860,1075300,Brandy,455,E & J Gallo Winery,20048,Black Velvet,24,375,42.74,64.11,2,128.22,0.75,0.2,2026,2,Feb,1,Sunday,21.37,33.33,170.96
INV-093881231,2026-03-25,9443,Hy-Vee #3 Food & Drugstore / Davenport,7525 Oak Ave,Waterloo,Black Hawk,50077,1041200,Mixto Tequila,742,Beam Suntory,77662,Maker'S Mark Bourbon,6,1000,51.77,77.66,5,388.3,5.0,1.32,2026,3,Mar,1,Wednesday,25.89,33.34,77.66
INV-068213514,2026-04-21,1981,Casey'S General Store #2212 / Cedar Rapids,8656 Oak Ave,Dubuque,Dubuque,51493,1051100,Spiced Rum,573,Southern Glazer'S Wine And Spirits Of Iowa,29365,Grey Goose Vodka,24,1000,65.56,98.34,10,983.4,10.0,2.64,2026,4,Apr,2,Tuesday,32.78,33.33,98.34
INV-045827376,2026-01-31,5702,Hy-Vee #3 Food & Drugstore / Davenport,2731 Elm Rd,Mason City,Cerro Gordo,52814,1062300,Whiskey Liqueur,715,Beam Suntory,40950,Bacardi Superior Rum,6,1000,77.35,116.02,7,812.14,7.0,1.85,2026,1,Jan,1,Saturday,38.67,33.33,116.02
INV-068536768,2026-02-21,7914,Benz Distributing,706 Oak Ave,Cedar Rapids,Linn,50653,1011200,Imported Vodkas,379,Southern Glazer'S Wine And Spirits Of Iowa,27882,Tito'S Handmade Vodka,12,750,57.57,86.36,9,777.24,6.75,1.78,2026,2,Feb,1,Saturday,28.79,33.34,115.15
INV-017425900,2026-01-04,2375,Marshall Beer Wine Spirits,5243 Elm Rd,Coralville,Johnson,50261,1071000,Imported Cordials & Liqueurs,516,Pernod Ricard Usa,57636,Crown Royal Canadian Whisky,24,375,60.1,90.15,1,90.15,0.38,0.1,2026,1,Jan,1,Sunday,30.05,33.33,237.24
INV-080499222,2026-03-27,5125,Benz Distributing,8233 Main St,Iowa City,Johnson,50976,1012100,Straight Bourbon Whiskies,714,Southern Glazer'S Wine And Spirits Of Iowa,26027,Jim Beam Bourbon,24,375,80.88,121.32,10,1213.2,3.75,0.99,2026,3,Mar,1,Friday,40.44,33.33,323.52
INV-046849119,2026-04-09,8200,Sam'S Club 6344 / Windsor Heights,6790 Elm Rd,Sioux City,Woodbury,52415,1011400,American Flavored Vodka,157,Southern Glazer'S Wine And Spirits Of Iowa,74272,Bacardi Superior Rum,6,750,15.94,23.91,4,95.64,3.0,0.79,2026,4,Apr,2,Thursday,7.97,33.33,31.88
INV-029449696,2026-03-10,6947,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,7886 Elm Rd,Mason City,Cerro Gordo,51263,1031100,Blended Whiskies,121,Heaven Hill Brands,94593,Maker'S Mark Bourbon,12,1750,83.04,124.56,5,622.8,8.75,2.31,2026,3,Mar,1,Tuesday,41.52,33.33,71.18
INV-058701586,2026-04-26,2999,Central City 2,8863 Oak Ave,Dewitt,Clinton,51813,1031200,Canadian Whiskies,497,Southern Glazer'S Wine And Spirits Of Iowa,11031,Absolut Vodka,12,1750,77.94,116.91,12,1402.92,21.0,5.55,2026,4,Apr,2,Sunday,38.97,33.33,66.81
INV-068900892,2026-04-27,6196,Marshall Beer Wine Spirits,6756 Main St,Cedar Falls,Black Hawk,51123,1032100,Irish Whiskies,987,Luxco Inc,20498,Black Velvet,12,750,28.01,42.02,3,126.06,2.25,0.59,2026,4,Apr,2,Monday,14.01,33.34,56.03
INV-018907659,2026-04-16,6764,Sam'S Club 6472 / Council Bluffs,6995 Elm Rd,Ankeny,Polk,51857,1033100,Single Malt Scotch,811,Heaven Hill Brands,13584,Bacardi Superior Rum,6,375,84.87,127.31,9,1145.79,3.38,0.89,2026,4,Apr,2,Thursday,42.44,33.34,338.99
INV-052107027,2026-04-08,2347,Wall To Wall Wine And Spirits / West Des Moines,1915 Oak Ave,Ames,Story,51023,1031200,Canadian Whiskies,628,Brown Forman,95089,Jose Cuervo Especial Gold,12,375,26.81,40.21,5,201.05,1.88,0.5,2026,4,Apr,2,Wednesday,13.4,33.33,106.94
INV-089593852,2026-04-08,6367,Sam'S Club 6472 / Council Bluffs,4716 Oak Ave,Dewitt,Clinton,50346,1062300,Whiskey Liqueur,524,Heaven Hill Brands,58182,Grey Goose Vodka,24,1750,19.05,28.58,3,85.74,5.25,1.39,2026,4,Apr,2,Wednesday,9.53,33.34,16.33
INV-092141673,2026-01-24,4747,Sam'S Club 6344 / Windsor Heights,1557 Park Blvd,Cedar Falls,Black Hawk,50813,1032100,Irish Whiskies,368,E & J Gallo Winery,32119,Jack Daniels Tennessee Whiskey,6,375,111.04,166.56,11,1832.16,4.12,1.09,2026,1,Jan,1,Saturday,55.52,33.33,444.7
INV-086134053,2026-01-07,2922,Sam'S Club 6472 / Council Bluffs,331 Park Blvd,Dubuque,Dubuque,51859,1032100,Irish Whiskies,947,E & J Gallo Winery,98291,Absolut Vodka,6,750,115.11,172.66,3,517.98,2.25,0.59,2026,1,Jan,1,Wednesday,57.55,33.33,230.21
INV-067889258,2026-03-05,4385,I-80 Liquor / Council Bluffs,9931 Oak Ave,West Des Moines,Polk,51160,1041100,100% Agave Tequila,844,Southern Glazer'S Wine And Spirits Of Iowa,98760,Absolut Vodka,24,1000,61.07,91.61,3,274.83,3.0,0.79,2026,3,Mar,1,Thursday,30.54,33.34,91.61
INV-043328672,2026-01-25,7056,Sam'S Club 6472 / Council Bluffs,9650 Park Blvd,Davenport,Scott,50352,1082200,American Schnapps,110,Hy-Vee Inc,71457,Tito'S Handmade Vodka,12,1000,30.93,46.39,8,371.12,8.0,2.11,2026,1,Jan,1,Sunday,15.46,33.33,46.39
INV-022788187,2026-01-18,1962,Sam'S Club 6344 / Windsor Heights,953 Elm Rd,Mason City,Cerro Gordo,50962,1011400,American Flavored Vodka,582,Southern Glazer'S Wine And Spirits Of Iowa,56439,Hennessy Cognac,24,1750,73.07,109.6,2,219.2,3.5,0.92,2026,1,Jan,1,Sunday,36.53,33.33,62.63
INV-059781518,2026-03-19,3166,Marshall Beer Wine Spirits,9267 Main St,Des Moines,Polk,52378,1031200,Canadian Whiskies,283,Pernod Ricard Usa,44116,Evan Williams Bourbon,12,1750,117.38,176.07,11,1936.77,19.25,5.09,2026,3,Mar,1,Thursday,58.69,33.33,100.61
INV-029031501,2026-01-22,5266,Costco Wholesale #788 / Wdm,2014 Elm Rd,Ankeny,Polk,50181,1041100,Gin,230,Brown Forman,75432,Jose Cuervo Especial Gold,12,375,86.24,129.36,7,905.52,2.62,0.69,2026,1,Jan,1,Thursday,43.12,33.33,345.62
INV-079386899,2026-04-22,6128,Sam'S Club 8162 / Cedar Rapids,7239 Oak Ave,Mason City,Cerro Gordo,51293,1071000,Imported Cordials & Liqueurs,854,Beam Suntory,74392,Patron Silver,24,1000,100.15,150.23,5,751.15,5.0,1.32,2026,4,Apr,2,Wednesday,50.08,33.34,150.23
INV-073115555,2026-04-08,5263,Kwik Spirits #1191 / Fort Dodge,2779 Park Blvd,Waterloo,Black Hawk,51788,1062300,Whiskey Liqueur,218,Sazerac Company Inc,74868,Captain Morgan Spiced Rum,6,750,30.28,45.42,1,45.42,0.75,0.2,2026,4,Apr,2,Wednesday,15.14,33.33,60.56
INV-026596590,2026-01-06,6727,Hiway 20 Liquor And Tobacco / Webster City,1633 Oak Ave,Sioux City,Woodbury,51164,1071000,Cocktails/Rtd,284,Brown Forman,32058,Grey Goose Vodka,6,1750,102.04,153.06,3,459.18,5.25,1.39,2026,1,Jan,1,Tuesday,51.02,33.33,87.46
INV-080600592,2026-04-06,3958,Marshall Beer Wine Spirits,6922 Main St,Dewitt,Clinton,51009,1041100,Gin,886,E & J Gallo Winery,75288,Jameson Irish Whiskey,24,750,119.77,179.66,1,179.66,0.75,0.2,2026,4,Apr,2,Monday,59.89,33.34,239.55
INV-053424580,2026-03-28,3519,Costco Wholesale #788 / Wdm,573 Main St,Cedar Falls,Black Hawk,51886,1041100,100% Agave Tequila,950,Sazerac Company Inc,96447,Patron Silver,12,375,47.02,70.53,2,141.06,0.75,0.2,2026,3,Mar,1,Saturday,23.51,33.33,188.08
INV-053609415,2026-03-03,3118,Marshall Beer Wine Spirits,3563 Main St,Ames,Story,52637,1071000,Cocktails/Rtd,389,E & J Gallo Winery,52358,Tito'S Handmade Vodka,6,1000,79.94,119.91,8,959.28,8.0,2.11,2026,3,Mar,1,Tuesday,39.97,33.33,119.91
INV-042223009,2026-04-13,7535,Another Round / Dewitt,1561 Main St,Mason City,Cerro Gordo,50853,1031200,Canadian Whiskies,266,Pernod Ricard Usa,60921,Evan Williams Bourbon,6,1750,49.97,74.95,3,224.85,5.25,1.39,2026,4,Apr,2,Monday,24.98,33.33,42.83
INV-091002225,2026-04-10,3151,Benz Distributing,5982 Main St,Council Bluffs,Pottawattamie,51506,1032100,Irish Whiskies,624,Diageo Americas,36197,Patron Silver,12,1750,89.23,133.84,5,669.2,8.75,2.31,2026,4,Apr,2,Friday,44.61,33.33,76.48
INV-092391939,2026-03-04,4053,Sam'S Club 6344 / Windsor Heights,7212 Park Blvd,Cedar Falls,Black Hawk,50381,1071000,Cocktails/Rtd,141,Brown Forman,77284,Absolut Vodka,6,1750,91.63,137.44,6,824.64,10.5,2.77,2026,3,Mar,1,Wednesday,45.81,33.33,78.54
INV-074103912,2026-02-13,5921,Wilkie Liquors,2534 Oak Ave,Ames,Story,52803,1071000,Cocktails/Rtd,407,Hy-Vee Inc,42591,Johnnie Walker Black Label,12,375,58.05,87.07,2,174.14,0.75,0.2,2026,2,Feb,1,Friday,29.02,33.33,232.19
INV-065434526,2026-03-08,2548,Central City 2,7712 Elm Rd,Council Bluffs,Pottawattamie,51456,1082200,American Schnapps,360,Pernod Ricard Usa,86751,Black Velvet,24,375,16.04,24.06,7,168.42,2.62,0.69,2026,3,Mar,1,Sunday,8.02,33.33,64.28
INV-049949573,2026-01-11,6143,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,9720 Park Blvd,Des Moines,Polk,52746,1041100,Gin,560,Brown Forman,91764,Crown Royal Canadian Whisky,12,750,8.77,13.15,7,92.05,5.25,1.39,2026,1,Jan,1,Sunday,4.38,33.31,17.53
INV-024271459,2026-04-14,8107,Wall To Wall Wine And Spirits / West Des Moines,8855 Main St,Sioux City,Woodbury,50024,1071000,Imported Cordials & Liqueurs,504,Southern Glazer'S Wine And Spirits Of Iowa,25293,Crown Royal Canadian Whisky,24,375,117.92,176.88,5,884.4,1.88,0.5,2026,4,Apr,2,Tuesday,58.96,33.33,470.43
INV-058416197,2026-01-02,7471,Casey'S General Store #2212 / Cedar Rapids,5058 Main St,Ames,Story,50513,1051100,Spiced Rum,238,Brown Forman,11818,Hennessy Cognac,12,1750,75.56,113.34,10,1133.4,17.5,4.62,2026,1,Jan,1,Friday,37.78,33.33,64.77
INV-042451191,2026-01-25,8139,Hy-Vee #3 / Bdi / Des Moines,8924 Oak Ave,Dewitt,Clinton,50353,1041100,100% Agave Tequila,408,Southern Glazer'S Wine And Spirits Of Iowa,70742,Tito'S Handmade Vodka,12,750,79.06,118.59,11,1304.49,8.25,2.18,2026,1,Jan,1,Sunday,39.53,33.33,158.12
INV-073282209,2026-01-19,1321,Hy-Vee #3 / Bdi / Des Moines,7464 Oak Ave,Iowa City,Johnson,50825,1033100,Single Malt Scotch,401,Diageo Americas,84636,Crown Royal Canadian Whisky,24,750,85.35,128.02,8,1024.16,6.0,1.59,2026,1,Jan,1,Monday,42.67,33.33,170.69
INV-087666600,2026-04-17,5764,Costco Wholesale #788 / Wdm,706 Park Blvd,Des Moines,Polk,51638,1032100,Irish Whiskies,597,Sazerac Company Inc,77286,Jim Beam Bourbon,12,1750,102.36,153.54,12,1842.48,21.0,5.55,2026,4,Apr,2,Friday,51.18,33.33,87.74
INV-045950066,2026-03-17,7834,Central City 2,7855 Main St,West Des Moines,Polk,52027,1033100,Single Malt Scotch,737,Pernod Ricard Usa,94696,Tito'S Handmade Vodka,24,1750,40.3,60.45,2,120.9,3.5,0.92,2026,3,Mar,1,Tuesday,20.15,33.33,34.54
INV-068802221,2026-02-14,4802,Sam'S Club 6472 / Council Bluffs,8417 Oak Ave,Mason City,Cerro Gordo,52408,1071000,Cocktails/Rtd,801,Sazerac Company Inc,54453,Crown Royal Canadian Whisky,24,1000,25.89,38.84,6,233.04,6.0,1.59,2026,2,Feb,1,Saturday,12.95,33.34,38.84
INV-093462271,2026-04-28,4394,Hy-Vee #3 Food & Drugstore / Davenport,4727 Main St,Davenport,Scott,52733,1071000,Cocktails/Rtd,594,Beam Suntory,26920,Bacardi Superior Rum,12,1000,96.67,145.0,3,435.0,3.0,0.79,2026,4,Apr,2,Tuesday,48.33,33.33,145.0
INV-016314854,2026-01-23,1297,Casey'S General Store #2212 / Cedar Rapids,5978 Elm Rd,Davenport,Scott,51463,1012200,Tennessee Whiskies,793,Diageo Americas,30788,Bacardi Superior Rum,12,1750,30.84,46.26,9,416.34,15.75,4.16,2026,1,Jan,1,Friday,15.42,33.33,26.43
INV-040077607,2026-01-23,8968,Another Round / Dewitt,4324 Elm Rd,Des Moines,Polk,51456,1041100,Gin,887,Heaven Hill Brands,16117,Bacardi Superior Rum,24,375,29.91,44.87,9,403.83,3.38,0.89,2026,1,Jan,1,Friday,14.96,33.34,119.48
INV-071355706,2026-04-09,2817,Benz Distributing,1834 Main St,Council Bluffs,Pottawattamie,52304,1051200,Rum,142,Pernod Ricard Usa,76493,Evan Williams Bourbon,24,375,9.37,14.05,8,112.4,3.0,0.79,2026,4,Apr,2,Thursday,4.68,33.31,37.47
INV-077900294,2026-01-14,9165,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,1726 Oak Ave,Ames,Story,52651,1051100,Spiced Rum,472,Southern Glazer'S Wine And Spirits Of Iowa,53857,Smirnoff Vodka,24,750,37.53,56.3,8,450.4,6.0,1.59,2026,1,Jan,1,Wednesday,18.77,33.34,75.07
INV-055811204,2026-04-15,5698,I-80 Liquor / Council Bluffs,8374 Oak Ave,Cedar Rapids,Linn,50350,1062300,Whiskey Liqueur,372,Brown Forman,58815,Bacardi Superior Rum,6,375,100.76,151.14,8,1209.12,3.0,0.79,2026,4,Apr,2,Wednesday,50.38,33.33,403.04
INV-065486872,2026-04-02,7706,Wilkie Liquors,7616 Elm Rd,Sioux City,Woodbury,50122,1082200,American Schnapps,553,Hy-Vee Inc,29082,Woodford Reserve,6,1750,19.58,29.37,7,205.59,12.25,3.24,2026,4,Apr,2,Thursday,9.79,33.33,16.78
INV-068260195,2026-04-09,2007,Maverik #5266 / Des Moines,6543 Main St,Mason City,Cerro Gordo,52705,1011100,American Vodkas,756,Diageo Americas,29785,Black Velvet,12,1000,50.29,75.44,3,226.32,3.0,0.79,2026,4,Apr,2,Thursday,25.15,33.34,75.44
INV-052103461,2026-04-26,6638,Maverik #5266 / Des Moines,229 Elm Rd,Des Moines,Polk,52162,1075300,Brandy,725,Luxco Inc,29249,Bacardi Superior Rum,24,1750,85.14,127.71,5,638.55,8.75,2.31,2026,4,Apr,2,Sunday,42.57,33.33,72.98
INV-064291836,2026-03-31,4232,I-80 Liquor / Council Bluffs,5040 Main St,Ankeny,Polk,50152,1032100,Irish Whiskies,650,Pernod Ricard Usa,53842,Evan Williams Bourbon,24,1750,43.72,65.58,11,721.38,19.25,5.09,2026,3,Mar,1,Tuesday,21.86,33.33,37.47
INV-055729171,2026-02-19,3621,Hiway 20 Liquor And Tobacco / Webster City,483 Main St,Waterloo,Black Hawk,52212,1062300,Whiskey Liqueur,706,Luxco Inc,43907,Captain Morgan Spiced Rum,24,375,67.78,101.67,9,915.03,3.38,0.89,2026,2,Feb,1,Thursday,33.89,33.33,270.72
INV-057576607,2026-01-31,3028,Sam'S Club 6472 / Council Bluffs,882 Main St,Mason City,Cerro Gordo,51839,1041200,Mixto Tequila,405,Pernod Ricard Usa,85030,Jim Beam Bourbon,12,375,33.76,50.64,9,455.76,3.38,0.89,2026,1,Jan,1,Saturday,16.88,33.33,134.84
INV-086875315,2026-04-05,3293,Costco Wholesale #788 / Wdm,6287 Oak Ave,Ankeny,Polk,50432,1011100,American Vodkas,435,Southern Glazer'S Wine And Spirits Of Iowa,77692,Jameson Irish Whiskey,12,750,38.36,57.54,11,632.94,8.25,2.18,2026,4,Apr,2,Sunday,19.18,33.33,76.72
INV-020998762,2026-03-16,2511,Sam'S Club 8162 / Cedar Rapids,1118 Park Blvd,Dewitt,Clinton,50533,1012200,Tennessee Whiskies,587,Brown Forman,38152,Jim Beam Bourbon,24,750,53.09,79.64,7,557.48,5.25,1.39,2026,3,Mar,1,Monday,26.55,33.34,106.19
INV-066830764,2026-02-27,8210,Maverik #5266 / Des Moines,8120 Park Blvd,Sioux City,Woodbury,50668,1012100,Straight Bourbon Whiskies,247,Beam Suntory,76294,Jameson Irish Whiskey,12,1750,71.57,107.35,11,1180.85,19.25,5.09,2026,2,Feb,1,Friday,35.78,33.33,61.34
INV-014376489,2026-01-17,3569,Kwik Spirits #1191 / Fort Dodge,9259 Elm Rd,Mason City,Cerro Gordo,50487,1033100,Single Malt Scotch,716,Hy-Vee Inc,63558,Woodford Reserve,24,375,28.27,42.41,8,339.28,3.0,0.79,2026,1,Jan,1,Saturday,14.14,33.34,113.09
INV-050702879,2026-01-15,5816,Hy-Vee #3 Food & Drugstore / Davenport,8061 Main St,Sioux City,Woodbury,50586,1041100,100% Agave Tequila,245,Sazerac Company Inc,87283,Woodford Reserve,6,750,46.78,70.17,6,421.02,4.5,1.19,2026,1,Jan,1,Thursday,23.39,33.33,93.56
INV-083489212,2026-02-23,6712,Hy-Vee #3 Food & Drugstore / Davenport,1206 Main St,Cedar Falls,Black Hawk,51711,1031200,Canadian Whiskies,592,Luxco Inc,85112,Captain Morgan Spiced Rum,24,750,60.44,90.66,2,181.32,1.5,0.4,2026,2,Feb,1,Monday,30.22,33.33,120.88
INV-070388500,2026-02-09,8357,Costco Wholesale #788 / Wdm,2540 Elm Rd,Ankeny,Polk,50366,1075300,Brandy,919,Beam Suntory,91889,Johnnie Walker Black Label,6,750,62.3,93.45,8,747.6,6.0,1.59,2026,2,Feb,1,Monday,31.15,33.33,124.6
INV-047228655,2026-03-27,2450,Wilkie Liquors,2813 Main St,Iowa City,Johnson,52343,1082200,American Schnapps,745,Beam Suntory,50481,Malibu Coconut Rum,24,375,107.19,160.78,12,1929.36,4.5,1.19,2026,3,Mar,1,Friday,53.59,33.33,428.75
INV-077463037,2026-03-13,1305,Hiway 20 Liquor And Tobacco / Webster City,2070 Oak Ave,Ames,Story,50078,1041100,100% Agave Tequila,381,Diageo Americas,36975,Captain Morgan Spiced Rum,24,375,64.28,96.42,8,771.36,3.0,0.79,2026,3,Mar,1,Friday,32.14,33.33,257.12
INV-013122340,2026-02-01,6569,Another Round / Dewitt,7260 Oak Ave,Ankeny,Polk,51700,1075300,Brandy,124,Pernod Ricard Usa,79193,Evan Williams Bourbon,12,1000,72.11,108.16,8,865.28,8.0,2.11,2026,2,Feb,1,Sunday,36.05,33.33,108.16
INV-022029742,2026-02-10,3526,Another Round / Dewitt,5126 Park Blvd,Council Bluffs,Pottawattamie,52780,1032100,Irish Whiskies,273,Diageo Americas,17721,Jim Beam Bourbon,12,750,20.28,30.42,5,152.1,3.75,0.99,2026,2,Feb,1,Tuesday,10.14,33.33,40.56
INV-053515775,2026-03-20,5225,Hy-Vee #3 / Bdi / Des Moines,6252 Main St,Davenport,Scott,50213,1011400,American Flavored Vodka,307,Sazerac Company Inc,41407,Patron Silver,6,1750,40.78,61.17,7,428.19,12.25,3.24,2026,3,Mar,1,Friday,20.39,33.33,34.95
INV-072387558,2026-04-07,7669,Casey'S General Store #2212 / Cedar Rapids,1172 Park Blvd,West Des Moines,Polk,50119,1075300,Brandy,517,Pernod Ricard Usa,93039,Woodford Reserve,6,1750,34.87,52.3,6,313.8,10.5,2.77,2026,4,Apr,2,Tuesday,17.43,33.33,29.89
INV-050884443,2026-01-30,7664,Hiway 20 Liquor And Tobacco / Webster City,7406 Main St,Council Bluffs,Pottawattamie,52605,1011100,American Vodkas,612,E & J Gallo Winery,36667,Jim Beam Bourbon,24,750,79.41,119.11,3,357.33,2.25,0.59,2026,1,Jan,1,Friday,39.7,33.33,158.81
INV-072364542,2026-04-11,5739,Hiway 20 Liquor And Tobacco / Webster City,2842 Main St,Sioux City,Woodbury,50247,1062300,Whiskey Liqueur,593,Hy-Vee Inc,45822,Jack Daniels Tennessee Whiskey,24,1750,56.13,84.2,1,84.2,1.75,0.46,2026,4,Apr,2,Saturday,28.07,33.34,48.11
INV-085575530,2026-03-18,2145,Sam'S Club 6344 / Windsor Heights,5025 Main St,Dewitt,Clinton,51620,1071000,Imported Cordials & Liqueurs,815,Heaven Hill Brands,26118,Captain Morgan Spiced Rum,6,1000,22.3,33.45,9,301.05,9.0,2.38,2026,3,Mar,1,Wednesday,11.15,33.33,33.45
INV-055987725,2026-04-17,5282,Hiway 20 Liquor And Tobacco / Webster City,7517 Elm Rd,Mason City,Cerro Gordo,51008,1062300,Whiskey Liqueur,778,Luxco Inc,52157,Bacardi Superior Rum,24,750,62.31,93.47,6,560.82,4.5,1.19,2026,4,Apr,2,Friday,31.16,33.34,124.63
INV-033291610,2026-02-13,7769,Costco Wholesale #788 / Wdm,9206 Park Blvd,Ankeny,Polk,51609,1012200,Tennessee Whiskies,651,Sazerac Company Inc,20636,Jose Cuervo Especial Gold,24,375,59.02,88.53,1,88.53,0.38,0.1,2026,2,Feb,1,Friday,29.51,33.33,232.97
INV-061908845,2026-04-11,3903,Hy-Vee #3 / Bdi / Des Moines,238 Main St,Waterloo,Black Hawk,51896,1012100,Straight Bourbon Whiskies,479,Brown Forman,35295,Jim Beam Bourbon,12,1000,99.9,149.85,6,899.1,6.0,1.59,2026,4,Apr,2,Saturday,49.95,33.33,149.85
INV-050691933,2026-02-26,4623,Hy-Vee #3 / Bdi / Des Moines,3938 Park Blvd,West Des Moines,Polk,51487,1011100,American Vodkas,137,Luxco Inc,46799,Smirnoff Vodka,6,750,98.6,147.9,11,1626.9,8.25,2.18,2026,2,Feb,1,Thursday,49.3,33.33,197.2
INV-084059354,2026-03-05,4174,I-80 Liquor / Council Bluffs,9368 Oak Ave,Des Moines,Polk,50268,1012200,Tennessee Whiskies,702,Beam Suntory,26809,Jim Beam Bourbon,24,1000,61.79,92.69,3,278.07,3.0,0.79,2026,3,Mar,1,Thursday,30.9,33.34,92.69
